step,train_loss,val_loss,lr,grad_norm,elapsed_s,tokens
165,4.319722,,0.00299973,0.439539,284.8,679936
166,4.417965,,0.00299969,0.501852,286.2,684032
167,4.456383,,0.00299965,0.535862,287.4,688128
168,4.373353,,0.00299961,0.583102,288.8,692224
169,4.397045,,0.00299956,0.664680,290.1,696320
170,4.549539,,0.00299952,0.461720,291.8,700416
171,4.442019,,0.00299947,0.547119,293.7,704512
172,4.392073,,0.00299942,0.486760,295.1,708608
173,4.458428,,0.00299936,0.470271,296.8,712704
174,4.355655,,0.00299931,0.546051,298.3,716800
175,4.358443,,0.00299925,0.560037,299.5,720896
176,4.415701,,0.00299918,0.464730,301.1,724992
177,4.342677,,0.00299912,0.514345,302.6,729088
178,4.436757,,0.00299905,0.501302,304.1,733184
179,4.393498,,0.00299899,0.481023,305.5,737280
180,4.395845,,0.00299891,0.584181,307.2,741376
181,4.302664,,0.00299884,0.543329,308.6,745472
182,4.265274,,0.00299876,0.538150,309.9,749568
183,4.372432,,0.00299869,0.539286,311.5,753664
184,4.333586,,0.00299861,0.542048,312.9,757760
185,4.350204,,0.00299852,0.512275,314.7,761856
186,4.309876,,0.00299844,0.560530,316.6,765952
187,4.249299,,0.00299835,0.472564,318.5,770048
188,4.361640,,0.00299826,0.464900,320.4,774144
189,4.338089,,0.00299817,0.525634,322.3,778240
190,4.203270,,0.00299807,0.490498,323.9,782336
191,4.256525,,0.00299797,0.500573,325.5,786432
192,4.376392,,0.00299787,0.578033,326.8,790528
193,4.373702,,0.00299777,0.527550,328.2,794624
194,4.331744,,0.00299767,0.551864,329.8,798720
195,4.260552,,0.00299756,0.429282,331.4,802816
196,4.351568,,0.00299745,0.582023,332.8,806912
197,4.277379,,0.00299734,0.555901,334.1,811008
198,4.304379,,0.00299722,0.482358,335.5,815104
199,4.335694,,0.00299710,0.470846,337.0,819200
200,4.291925,4.394430,0.00299699,0.487150,347.4,823296
201,4.350385,,0.00299686,0.567503,348.7,827392
202,4.326359,,0.00299674,0.456295,350.4,831488
203,4.217444,,0.00299661,0.575871,351.8,835584
204,4.235547,,0.00299648,0.456540,353.2,839680
205,4.297207,,0.00299635,0.466961,354.7,843776
206,4.310464,,0.00299622,0.646709,356.0,847872
207,4.234960,,0.00299608,0.528229,357.3,851968
208,4.229061,,0.00299594,0.499058,358.9,856064
209,4.211606,,0.00299580,0.536373,360.3,860160
210,4.349369,,0.00299566,0.490161,361.7,864256
211,4.249483,,0.00299551,0.565284,363.1,868352
212,4.376495,,0.00299537,0.567466,364.5,872448
213,4.322225,,0.00299521,0.426916,366.3,876544
214,4.245501,,0.00299506,0.540170,367.7,880640
215,4.257387,,0.00299491,0.584958,369.3,884736
216,4.254428,,0.00299475,0.516420,370.6,888832
217,4.311760,,0.00299459,0.460003,372.0,892928
218,4.175311,,0.00299443,0.596559,373.4,897024
219,4.279180,,0.00299426,0.527774,374.7,901120
220,4.223072,,0.00299409,0.435133,376.0,905216
221,4.254010,,0.00299392,0.462516,377.4,909312
222,4.293803,,0.00299375,0.476721,378.8,913408
223,4.200412,,0.00299358,0.494381,380.2,917504
224,4.304156,,0.00299340,0.477766,381.8,921600
225,4.306094,,0.00299322,0.515624,383.3,925696
226,4.229561,,0.00299304,0.464741,385.0,929792
227,4.174500,,0.00299285,0.441360,386.5,933888
228,4.250263,,0.00299267,0.484325,387.8,937984
229,4.259383,,0.00299248,0.445876,389.1,942080
230,4.179925,,0.00299229,0.566632,390.8,946176
231,4.225217,,0.00299209,0.455979,392.1,950272
232,4.129677,,0.00299190,0.491453,393.6,954368
233,4.284688,,0.00299170,0.470218,395.0,958464
234,4.121003,,0.00299150,0.569911,396.4,962560
235,4.274567,,0.00299129,0.430524,397.7,966656
236,4.223618,,0.00299109,0.463392,399.0,970752
237,4.322383,,0.00299088,0.503555,400.9,974848
238,4.192029,,0.00299067,0.487595,402.4,978944
239,4.225548,,0.00299046,0.459312,403.8,983040
240,4.131874,,0.00299024,0.473561,405.3,987136
241,4.263627,,0.00299002,0.565199,406.7,991232
242,4.180643,,0.00298980,0.480530,408.1,995328
243,4.140360,,0.00298958,0.533984,409.6,999424
244,4.186361,,0.00298935,0.488541,411.2,1003520
245,4.201409,,0.00298913,0.469862,412.5,1007616
246,4.213739,,0.00298890,0.477614,413.9,1011712
247,4.220642,,0.00298867,0.488858,415.5,1015808
248,4.274531,,0.00298843,0.515248,417.0,1019904
249,4.108303,,0.00298819,0.450451,418.6,1024000
250,4.190492,4.292169,0.00298795,0.505504,431.6,1028096
251,4.258476,,0.00298771,0.492401,437.6,1032192
252,4.256929,,0.00298747,0.454949,439.4,1036288
253,4.167880,,0.00298722,0.621466,441.2,1040384
254,4.194383,,0.00298697,0.439892,443.0,1044480
255,4.148846,,0.00298672,0.517458,444.9,1048576
256,4.247087,,0.00298647,0.493836,446.7,1052672
257,4.191057,,0.00298621,0.480758,448.6,1056768
258,4.201868,,0.00298595,0.536573,450.6,1060864
259,4.245468,,0.00298569,0.421135,452.6,1064960
260,4.176219,,0.00298543,0.432697,454.5,1069056
261,4.121249,,0.00298516,0.517955,456.6,1073152
262,4.256801,,0.00298490,0.480188,458.8,1077248
263,4.192791,,0.00298463,0.482541,460.6,1081344
264,4.144438,,0.00298435,0.457732,462.0,1085440
265,4.060572,,0.00298408,0.490024,463.4,1089536
266,4.098488,,0.00298380,0.483083,464.7,1093632
267,4.172803,,0.00298352,0.475851,466.1,1097728
268,4.179742,,0.00298324,0.456615,467.5,1101824
269,4.125968,,0.00298295,0.584671,468.9,1105920
270,4.242035,,0.00298267,0.491342,470.2,1110016
271,4.154247,,0.00298238,0.454742,471.6,1114112
272,4.097666,,0.00298208,0.458390,473.0,1118208
273,4.199831,,0.00298179,0.457842,474.6,1122304
274,4.271524,,0.00298149,0.431748,476.1,1126400
275,4.218032,,0.00298119,0.461033,477.6,1130496
276,4.125458,,0.00298089,0.449883,479.1,1134592
277,4.194726,,0.00298059,0.416138,480.7,1138688
278,4.178087,,0.00298028,0.491332,482.7,1142784
279,4.156023,,0.00297998,0.463445,484.2,1146880
280,4.219558,,0.00297966,0.440970,485.6,1150976
281,4.118917,,0.00297935,0.447685,629.1,1155072
282,4.175080,,0.00297904,0.476791,633.1,1159168
283,4.141873,,0.00297872,0.471361,635.1,1163264
284,4.143476,,0.00297840,0.432949,637.2,1167360
285,4.200935,,0.00297807,0.456982,638.9,1171456
286,4.124543,,0.00297775,0.512135,640.5,1175552
287,4.077732,,0.00297742,0.642622,642.0,1179648
288,4.049946,,0.00297709,0.420177,643.6,1183744
289,4.123931,,0.00297676,0.540046,645.0,1187840
290,4.038017,,0.00297642,0.417471,646.5,1191936
291,4.128657,,0.00297609,0.497615,650.6,1196032
292,4.017600,,0.00297575,0.507009,652.9,1200128
293,4.211007,,0.00297541,0.492119,655.4,1204224
294,3.983073,,0.00297506,0.446774,657.7,1208320
295,4.059791,,0.00297472,0.480856,659.8,1212416
296,4.169975,,0.00297437,0.457157,661.9,1216512
297,4.094169,,0.00297402,0.482846,664.5,1220608
298,4.149849,,0.00297366,0.463087,667.0,1224704
299,4.075671,,0.00297331,0.475009,669.3,1228800
300,4.061123,4.234932,0.00297295,0.455672,684.6,1232896
301,4.096960,,0.00297259,0.429474,686.7,1236992
302,4.095111,,0.00297222,0.457276,689.3,1241088
303,4.162597,,0.00297186,0.442168,691.2,1245184
304,4.036832,,0.00297149,0.485015,693.3,1249280
305,4.154162,,0.00297112,0.436579,695.4,1253376
306,4.031660,,0.00297075,0.436651,697.8,1257472
307,4.097192,,0.00297037,0.463149,699.5,1261568
308,4.075679,,0.00297000,0.440225,701.0,1265664
309,4.116548,,0.00296962,0.428080,702.8,1269760
310,4.057003,,0.00296924,0.454140,704.9,1273856
311,4.160308,,0.00296885,0.476663,706.9,1277952
312,4.073979,,0.00296846,0.432190,708.8,1282048
313,4.024261,,0.00296808,0.448339,710.8,1286144
314,4.165099,,0.00296768,0.458073,713.0,1290240
315,4.074730,,0.00296729,0.472931,714.7,1294336
316,4.074841,,0.00296689,0.415959,717.3,1298432
317,4.046521,,0.00296650,0.491755,719.6,1302528
318,4.099831,,0.00296610,0.446343,721.6,1306624
319,4.044839,,0.00296569,0.428757,723.6,1310720
320,4.140351,,0.00296529,0.419669,725.5,1314816
321,4.065668,,0.00296488,0.450362,727.3,1318912
322,4.120036,,0.00296447,0.456137,729.3,1323008
323,4.015011,,0.00296406,0.435707,731.2,1327104
324,4.081186,,0.00296364,0.503298,732.9,1331200
325,4.151868,,0.00296322,0.429175,734.9,1335296
326,4.153516,,0.00296280,0.461748,737.0,1339392
327,4.015838,,0.00296238,0.505560,738.8,1343488
328,4.096114,,0.00296196,0.505846,740.6,1347584
329,4.116254,,0.00296153,0.452187,742.5,1351680
330,4.061415,,0.00296110,0.482014,744.4,1355776
331,4.152461,,0.00296067,0.447113,746.2,1359872
332,4.096674,,0.00296024,0.424774,748.3,1363968
333,4.067266,,0.00295980,0.440001,750.2,1368064
334,4.013515,,0.00295936,0.531937,752.2,1372160
335,4.051353,,0.00295892,0.395150,754.0,1376256
336,4.130940,,0.00295848,0.483277,755.9,1380352
337,4.078948,,0.00295803,0.463649,758.3,1384448
338,4.146550,,0.00295759,0.446683,760.3,1388544
339,4.121764,,0.00295714,0.455623,762.5,1392640
340,4.088814,,0.00295668,0.494735,764.8,1396736
341,4.064361,,0.00295623,0.437053,767.0,1400832
342,4.067914,,0.00295577,0.488191,769.2,1404928
343,4.110044,,0.00295531,0.470298,771.5,1409024
344,4.018401,,0.00295485,0.442625,773.8,1413120
345,4.074459,,0.00295439,0.455901,775.7,1417216
346,4.106541,,0.00295392,0.435082,777.9,1421312
347,4.028772,,0.00295345,0.418519,779.8,1425408
348,4.007435,,0.00295298,0.425636,781.8,1429504
349,4.107855,,0.00295251,0.442282,783.7,1433600
350,3.974810,4.166057,0.00295203,0.456784,797.8,1437696
351,4.041999,,0.00295156,0.497906,799.9,1441792
352,4.159361,,0.00295108,0.458078,801.9,1445888
353,4.036405,,0.00295059,0.468843,803.8,1449984
354,4.124996,,0.00295011,0.563790,805.7,1454080
355,4.078523,,0.00294962,0.431370,807.5,1458176
356,4.108441,,0.00294913,0.421957,809.4,1462272
357,4.055220,,0.00294864,0.452020,811.3,1466368
358,4.071077,,0.00294814,0.415435,813.2,1470464
359,4.011403,,0.00294765,0.418102,815.1,1474560
